name,tag,address,tel,url
聖護院八ッ橋ニキニキ,その他小売業,〒600-8001 京都府京都市下京区真町９１,075-254-8284,
聖護院八ッ橋四条店,その他小売業,〒600-8001 京都府京都市下京区真町９１,075-223-8221,
エディオン京都四条河原町店,家電販売店,〒600-8001 京都府京都市下京区四条通河原町東入真町68,075-213-6021,https://kyoto.edion.com/
鳥せゑ木屋町店,飲食店,〒600-8001 京都府京都市下京区小橋西入真町98－1,075-223-1410,
マツモトキヨシコトクロス阪急河原町店,ドラッグストア・調剤薬局,〒600-8001 京都府京都市下京区真町67-1,075-253-6580,
牛角京都四条河原町店,飲食店,〒600-8001 京都府京都市下京区真町97イマージアムビル２F,075-222-0029,
牛しゃぶ牛すき食べ放題但馬屋  四条河原町店,飲食店,〒600-8001 京都府京都市下京区真町68番地住友不動産京都ビル７F,075-354-5165,https://manzo-kyoto.com
珉珉  四条店,飲食店,〒600-8001 京都府京都市下京区真町88ユー・イットウ池善ビル地下1階,075-366-4533,https://tabelog.com/kyoto/A2601/A260201/26036100/
ベジテジや 四条木屋町店,飲食店,〒600-8001 京都府京都市下京区四条通小橋西入真町90ヨシヤビル2Ｆ,075-252-3029,https://www.vege-teji.com/
カランコロン京都  本店,雑貨店,〒600-8001 京都府京都市下京区真町83-1,075-253-5535,
伊と忠  本店,衣料・身の回り品取扱店,〒600-8001 京都府京都市下京区四条通河原町東入真町81番地,075-221-0308,
蔵寺町店,飲食店,〒600-8031 京都府京都市下京区寺町通四条下ル貞安前之町609,075-344-0001,https://www.bal-flower.co.jp/fd/teramachi.html
僧伽小野京都浄教寺,飲食店,〒600-8031 京都府京都市下京区寺町通四条下る貞安前之町620貞安前之町620三井ガーデンホテル京都河原町浄教寺,075-708-8868,
cosmetics池善,その他業種,〒600-8031 京都府京都市下京区貞安前之町６０９,075-343-2323,
ランパデール,その他小売業,〒600-8031 京都府京都市下京区貞安前之町619-1,075-351-2509,https://lampadaire.me/
ファミリーマート四条寺町店,コンビニ,〒600-8031 京都府京都市下京区貞安前之町613,075-354-7022,
株式会社佛光堂,その他小売業,〒600-8033 京都府京都市下京区寺町通仏光寺下る恵美須之町535番地,075-351-4092,https://bukkodo351.com
フレスコ寺町店,スーパー,〒600-8033 京都府京都市下京区寺町通仏光寺下ル恵美須之町５２４,075-468-9171,https://www.super-fresco.co.jp/
タイ古式マッサージ空,その他サービス業,〒600-8033 京都府京都市下京区恵美須之町５４６しきさい寺町ビル３階,075-708-8484,
じゃんぱら京都店,その他小売業,〒600-8033 京都府京都市下京区恵美須之町544,075-353-7281,https://www.janpara.co.jp/
Pizzeria e Bar La Voce,飲食店,〒600-8038 京都府京都市下京区足袋屋町317-2,075-200-9578,http://lavoce-kyoto.com/pizzeria/
京都  炭火串焼つじや  四条御幸町店,飲食店,〒600-8039 京都府京都市下京区大寿町400,075-371-5825,
ホテルタビノス京都,その他小売業,〒600-8040 京都府京都市下京区河原町通五条上る安土町京都銀行河原町五条ビル,075-320-4111,https://hoteltavinos.com/kyoto/
先斗入ル四条河原町本店,飲食店,〒600-8001 京都府京都市下京区四条通小橋西入真町81番地1F,075-708-6341,https://www.pontoiru.com/
京懐石  美濃吉  四条河原町店,飲食店,〒600-8001 京都府京都市下京区真町６８住友不動産京都ビル８階,075-255-3541,https://www.minokichi.co.jp/shops/11
イノブン四条本店,雑貨店,〒600-8002 京都府京都市下京区四条通河原町西入ル御旅町26,075-221-0854,https://www.inobun.co.jp/
永楽屋細辻伊兵衛商店  四条店,雑貨店,〒600-8002 京都府京都市下京区四条通河原町西入御旅町34,075-222-1622,http://www.eirakuya.jp
田ごと四条本店,飲食店,〒600-8002 京都府京都市下京区御旅町34,075-221-1811,https://www.kyoto-tagoto.co.jp
ココカラファイン  四条河原町西店,ドラッグストア・調剤薬局,〒600-8002 京都府京都市下京区四条通寺町東入二丁目御旅町４０番１,075-277-5247,
ローソン四条河原町店,コンビニ,〒600-8002 京都府京都市下京区御旅町34,075-231-7022,
京ごふく ゑり善,衣料・身の回り品取扱店,〒600-8002 京都府京都市下京区御旅町,075-221-1618,https://www.erizen.co.jp/
グランマーブル四条御旅庵,その他小売業,〒600-8003 京都府京都市下京区御旅宮本町13,075-229-6000,https://grandmarble.com/shijo_otabian
十三や株式会社,その他小売業,〒600-8003 京都府京都市下京区御旅宮本町13,075-211-0498,https://www.kyoto-jusanya.com
MIYABIYA shop＆maison,衣料・身の回り品取扱店,〒600-8047 京都府京都市下京区松原通寺町西入石不動之町695  1階,075-371-6601,http://www.masugi.co.jp/laquoh/shop.html
Dining 603,飲食店,〒600-8049 京都府京都市下京区堅田町６０３番地,075-746-7906,
立川金和堂,その他小売業,〒600-8050 京都府京都市下京区堅田町593-2,075-351-4636,http://kinwadou.justhpbs.jp
BELLOTA  concha,飲食店,〒600-8051 京都府京都市下京区富小路通り四条下ル徳正寺町41-8,075-351-5829,
株式会社クロッシェ,その他小売業,〒600-8052 京都府京都市下京区綾小路富小路東入塩屋町６９,075-744-0840,http://crcht.com/
おうちごはん中島家,飲食店,〒600-8054 京都府京都市下京区仏光寺東町115,075-365-2262,
ワイン食堂umiusagi,飲食店,〒600-8071 京都府京都市下京区相之町137ルシェル林ビル1階,075-371-6988,https://wineumiusagi.com/
京町スタンド 若旦那,飲食店,〒600-8072 京都府京都市下京区綾材木町188-2,075-353-1888,https://gallant-kyoto.net/wakadanna
チカキッサタブコ,飲食店,〒600-8076 京都府京都市下京区泉正寺町463ルネ丸高B1,075-755-6282,http://www.cafetabco.com
市場小路 四条烏丸店,飲食店,〒600-8008 京都府下京区四条通烏丸東入ル長刀鉾町三井ビルB1味広場内,075-253-1461,
タリーズコーヒー四条烏丸京都三井ビル店,飲食店,〒600-8008 京都府京都市下京区長刀鉾町京都三井ビル地下１F,075-256-8155,
めん坊  四条店,飲食店,〒600-8008 京都府京都市下京区長刀鉾町8三井ビルB1,075-211-8867,
竈炊きたて御飯どい  PLUS ONE KYOTO  SUINA室町店,飲食店,〒600-8009 京都府京都市下京区函谷鉾町７８ 京都経済センター  ＳＵＩＮＡ室町１階,075-352-1020,https://www.doishibazuke.co.jp/kamadopost/174/
カラダファクトリーラクエ四条烏丸店,その他業種,〒600-8009 京都府京都市下京区函谷鉾町101ラクエ四条烏丸3階,075-585-5616,
MAISEMA,その他小売業,〒600-8009 京都府京都市下京区函谷鉾町LAQUE四条烏丸,075-212-7080,
魚とお野菜のイタリアンアルバータ,飲食店,〒600-8009 京都府京都市下京区函谷鉾町７８番地ＳＵＩＮＡ室町Ｂ１Ｆ  Ｂ１０５,075-351-2022,https://www.alberta-dining.co.jp/shop2/index15.html
STEAK & STEAK ステーキ ステーキ,飲食店,〒600-8009 京都府下京区四条通室町東入函谷鉾町78番地ＳＵＩＮＡ室町  Ｂ１,075-353-7029,
菱屋カレンブロッソ ラクエ四条烏丸店,衣料・身の回り品取扱店,〒600-8009 京都府京都市下京区函谷鉾町101ラクエ四条烏丸B1F,075-222-8599,
ファミリーマート四条室町店,コンビニ,〒600-8009 京都府京都市下京区函谷鉾町83,075-253-1533,
串八  四条烏丸店,飲食店,〒600-8009 京都府京都市下京区四条通室町東入函谷鉾町87ケイアイ興産京都ビル地下１階,075-212-3999,http://www.kushihachi.co.jp
京町家  焼肉市場小路  木屋町店,飲食店,〒600-8013 京都府下京区木屋町通仏光寺上ル天王町3丁目154番地の１,075-353-0429,
本家 たん熊 本店,飲食店,〒600-8014 京都府京都市下京区和泉屋町168,050-3628-1645,http://www.tankuma.jp
アモーレ木屋町  京都,飲食店,〒600-8014 京都府京都市下京区和泉屋町１６１,075-708-7791,https://kiwa-group.co.jp/amore_kiyamachi/
大傳梅梅  京都,飲食店,〒600-8015 京都府京都市下京区美濃屋町１７３,075-353-9021,https://kiwa-group.co.jp/meimei_daiden/
京料理  田鶴,飲食店,〒600-8015 京都府京都市下京区美濃屋町１７９番地の１,075-341-3376,http://www.tazuru.com/
仙鶴,飲食店,〒600-8015 京都府京都市下京区美濃屋町177,075-341-7511,http://sen-kaku.co.jp/
仏沙羅館,飲食店,〒600-8015 京都府京都市下京区美濃屋町174,075-361-4535,https://bussaracankawaramachi.owst.jp/
LE UN 鮒鶴京都鴨川リゾート,飲食店,〒600-8015 京都府京都市下京区木屋町通松原上ル美濃屋町180美濃屋町１８０,075-351-8541,http://www.funatsuru.com/restaurant/
料理旅館  鶴清,飲食店,〒600-8017 京都府京都市下京区下材木町451,075-351-8518,
